token	count	per_million
charleroi	420	120.46
soutien	419	120.18
actuel	419	120.18
partage	418	119.89
évolution	418	119.89
janvier	416	119.32
période	415	119.03
visuel	415	119.03
étudiants	415	119.03
anglais	414	118.74
invité	414	118.74
accès	413	118.46
tard	412	118.17
lettre	412	118.17
marie	410	117.59
représentations	410	117.59
architectes	410	117.59
premiers	409	117.31
tradition	409	117.31
benoît	409	117.31
contemporaines	409	117.31
révèle	409	117.31
jeux	408	117.02
cesse	408	117.02
avril	408	117.02
emmanuel	407	116.73
marc	407	116.73
idées	406	116.45
extrait	406	116.45
patrick	405	116.16
sait	404	115.87
john	404	115.87
trouver	404	115.87
numériques	404	115.87
économique	403	115.59
nécessaire	403	115.59
renvoie	402	115.3
violence	400	114.73
nord	400	114.73
vide	400	114.73
conçu	400	114.73
signe	400	114.73
outil	400	114.73
thomas	400	114.73
roman	399	114.44
commissaires	398	114.15
réalisées	398	114.15
région	397	113.87
mal	397	113.87
chacune	397	113.87
invités	397	113.87
soient	397	113.87
lesquelles	397	113.87
sociaux	397	113.87
consiste	396	113.58
mises	395	113.29
fragments	395	113.29
manifestation	394	113.01
niveau	393	112.72
général	392	112.43
moyen	392	112.43
plans	392	112.43
second	392	112.43
élément	392	112.43
écoles	392	112.43
constituent	390	111.86
cité	388	111.28
christine	388	111.28
finalement	388	111.28
juste	387	111.0
diversité	387	111.0
contenu	387	111.0
situ	386	110.71
rouge	386	110.71
traduction	385	110.42
lettres	385	110.42
but	385	110.42
sentiment	384	110.14
entreprise	383	109.85
national	383	109.85
interventions	383	109.85
museum	383	109.85
motifs	382	109.56
lire	382	109.56
condition	382	109.56
eric	381	109.28
christian	381	109.28
ancien	381	109.28
trace	379	108.7
références	379	108.7
actualité	378	108.42
table	377	108.13
vincent	377	108.13
cultures	377	108.13
troisième	376	107.84
revient	376	107.84
via	376	107.84
blanche	375	107.56
mêmes	375	107.56
peter	375	107.56
néanmoins	375	107.56
autrement	375	107.56
laisse	374	107.27
interroge	374	107.27
silence	374	107.27
venir	373	106.98
actuelle	371	106.41
famille	371	106.41
médias	371	106.41
georges	370	106.12
égard	370	106.12
thématique	369	105.84
générale	369	105.84
février	369	105.84
caméra	368	105.55
fort	367	105.26
tête	367	105.26
mené	366	104.97
invisible	366	104.97
territoires	366	104.97
objectif	366	104.97
